,NY times,powerhouse
06/19/21,cigar,cigar
06/20/21,rebut,rebut
06/21/21,sissy,sissy
06/22/21,humph,humph
06/23/21,awake,awake
06/24/21,blush,blush
06/25/21,focal,focal
06/26/21,evade,evade
06/27/21,naval,naval
06/28/21,serve,serve
06/29/21,heath,heath
06/30/21,dwarf,dwarf
07/01/21,model,model
07/02/21,karma,karma
07/03/21,stink,stink
07/04/21,grade,grade
07/05/21,quiet,quiet
07/06/21,bench,bench
07/07/21,abate,abate
07/08/21,feign,feign
07/09/21,major,major
07/10/21,death,death
07/11/21,fresh,fresh
07/12/21,crust,crust
07/13/21,stool,stool
07/14/21,colon,colon
07/15/21,abase,abase
07/16/21,marry,marry
07/17/21,react,react
07/18/21,batty,batty
07/19/21,pride,pride
07/20/21,floss,floss
07/21/21,helix,helix
07/22/21,croak,croak
07/23/21,staff,staff
07/24/21,paper,paper
07/25/21,unfed,unfed
07/26/21,whelp,whelp
07/27/21,trawl,trawl
07/28/21,outdo,outdo
07/29/21,adobe,adobe
07/30/21,crazy,crazy
07/31/21,sower,sower
08/01/21,repay,repay
08/02/21,digit,digit
08/03/21,crate,crate
08/04/21,cluck,cluck
08/05/21,spike,spike
08/06/21,mimic,mimic
08/07/21,pound,pound
08/08/21,maxim,maxim
08/09/21,linen,linen
08/10/21,unmet,unmet
08/11/21,flesh,flesh
08/12/21,booby,booby
08/13/21,forth,forth
08/14/21,first,first
08/15/21,stand,stand
08/16/21,belly,belly
08/17/21,ivory,ivory
08/18/21,seedy,seedy
08/19/21,print,print
08/20/21,yearn,yearn
08/21/21,drain,drain
08/22/21,bribe,bribe
08/23/21,stout,stout
08/24/21,panel,panel
08/25/21,crass,crass
08/26/21,flume,flume
08/27/21,offal,offal
08/28/21,agree,agree
08/29/21,error,error
08/30/21,swirl,swirl
08/31/21,argue,argue
09/01/21,bleed,bleed
09/02/21,delta,delta
09/03/21,flick,flick
09/04/21,totem,totem
09/05/21,wooer,wooer
09/06/21,front,front
09/07/21,shrub,shrub
09/08/21,parry,parry
09/09/21,biome,biome
09/10/21,lapel,lapel
09/11/21,start,start
09/12/21,greet,greet
09/13/21,goner,goner
09/14/21,golem,golem
09/15/21,lusty,lusty
09/16/21,loopy,loopy
09/17/21,round,round
09/18/21,audit,audit
09/19/21,lying,lying
09/20/21,gamma,gamma
09/21/21,labor,labor
09/22/21,islet,islet
09/23/21,civic,civic
09/24/21,forge,forge
09/25/21,corny,corny
09/26/21,moult,moult
09/27/21,basic,basic
09/28/21,salad,salad
09/29/21,agate,agate
09/30/21,spicy,spicy
10/01/21,spray,spray
10/02/21,essay,essay
10/03/21,fjord,fjord
10/04/21,spend,spend
10/05/21,kebab,kebab
10/06/21,guild,guild
10/07/21,aback,aback
10/08/21,motor,motor
10/09/21,alone,alone
10/10/21,hatch,hatch
10/11/21,hyper,hyper
10/12/21,thumb,thumb
10/13/21,dowry,dowry
10/14/21,ought,ought
10/15/21,belch,belch
10/16/21,dutch,dutch
10/17/21,pilot,pilot
10/18/21,tweed,tweed
10/19/21,comet,comet
10/20/21,jaunt,jaunt
10/21/21,enema,enema
10/22/21,steed,steed
10/23/21,abyss,abyss
10/24/21,growl,growl
10/25/21,fling,fling
10/26/21,dozen,dozen
10/27/21,boozy,boozy
10/28/21,erode,erode
10/29/21,world,world
10/30/21,gouge,gouge
10/31/21,click,click
11/01/21,briar,briar
11/02/21,great,great
11/03/21,altar,altar
11/04/21,pulpy,pulpy
11/05/21,blurt,blurt
11/06/21,coast,coast
11/07/21,duchy,duchy
11/08/21,groin,groin
11/09/21,fixer,fixer
11/10/21,group,group
11/11/21,rogue,rogue
11/12/21,badly,badly
11/13/21,smart,smart
11/14/21,pithy,pithy
11/15/21,gaudy,gaudy
11/16/21,chill,chill
11/17/21,heron,heron
11/18/21,vodka,vodka
11/19/21,finer,finer
11/20/21,surer,surer
11/21/21,radio,radio
11/22/21,rouge,rouge
11/23/21,perch,perch
11/24/21,retch,retch
11/25/21,wrote,wrote
11/26/21,clock,clock
11/27/21,tilde,tilde
11/28/21,store,store
11/29/21,prove,prove
11/30/21,bring,bring
12/01/21,solve,solve
12/02/21,cheat,cheat
12/03/21,grime,grime
12/04/21,exult,exult
12/05/21,usher,usher
12/06/21,epoch,epoch
12/07/21,triad,triad
12/08/21,break,break
12/09/21,rhino,rhino
